"No.","Time","AbsTime","Source","Destination","Protocol","Length","Info"
"907","11.025709764","12:26:47.444474350","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1289 Ack=19534 Win=8326 Len=10 TSval=454529 TSecr=1542835243"
"920","11.125341608","12:26:47.544106194","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1299 Ack=19654 Win=8326 Len=10 TSval=454538 TSecr=1542835343"
"927","11.225346232","12:26:47.644110818","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1309 Ack=19771 Win=8326 Len=10 TSval=454547 TSecr=1542835442"
"936","11.325323062","12:26:47.744087648","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1319 Ack=19892 Win=8326 Len=10 TSval=454556 TSecr=1542835542"
"943","11.425325783","12:26:47.844090369","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1329 Ack=20018 Win=8326 Len=10 TSval=454565 TSecr=1542835642"
"950","11.525392571","12:26:47.944157157","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1339 Ack=20139 Win=8326 Len=10 TSval=454574 TSecr=1542835742"
"961","11.625333900","12:26:48.044098486","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1359 Ack=20722 Win=8326 Len=10 TSval=454583 TSecr=1542835843"
"968","11.725311838","12:26:48.144076424","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1369 Ack=20843 Win=8326 Len=10 TSval=454592 TSecr=1542835942"
"975","11.825330124","12:26:48.244094710","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1379 Ack=20968 Win=8326 Len=10 TSval=454601 TSecr=1542836033"
"982","11.925312754","12:26:48.344077340","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1389 Ack=21090 Win=8326 Len=10 TSval=454610 TSecr=1542836142"
"989","12.025300091","12:26:48.444064677","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1399 Ack=21211 Win=8326 Len=10 TSval=454619 TSecr=1542836235"
"1002","12.125329893","12:26:48.544094479","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1409 Ack=21331 Win=8326 Len=10 TSval=454628 TSecr=1542836342"
"1009","12.225311341","12:26:48.644075927","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1419 Ack=21448 Win=8326 Len=10 TSval=454636 TSecr=1542836437"
"1018","12.325316568","12:26:48.744081154","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1429 Ack=21569 Win=8326 Len=10 TSval=454646 TSecr=1542836537"
"1025","12.425315567","12:26:48.844080153","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1439 Ack=21695 Win=8326 Len=10 TSval=454655 TSecr=1542836642"
"1032","12.525359743","12:26:48.944124329","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1449 Ack=21816 Win=8326 Len=10 TSval=454664 TSecr=1542836738"
"1043","12.625336752","12:26:49.044101338","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1469 Ack=22399 Win=8326 Len=10 TSval=454673 TSecr=1542836843"
"1050","12.725318619","12:26:49.144083205","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1479 Ack=22520 Win=8326 Len=10 TSval=454682 TSecr=1542836940"
"1057","12.825282062","12:26:49.244046648","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1489 Ack=22645 Win=8326 Len=10 TSval=454691 TSecr=1542837040"
"1066","12.925351779","12:26:49.344116365","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1512 Ack=22948 Win=8326 Len=10 TSval=454700 TSecr=1542837203"
"1073","13.025285869","12:26:49.444050455","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1522 Ack=23069 Win=8326 Len=10 TSval=454709 TSecr=1542837242"
"1086","13.125374970","12:26:49.544139556","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1532 Ack=23189 Win=8326 Len=10 TSval=454718 TSecr=1542837345"
"1093","13.225348956","12:26:49.644113542","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1542 Ack=23306 Win=8326 Len=10 TSval=454727 TSecr=1542837442"
"1102","13.325363020","12:26:49.744127606","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1552 Ack=23427 Win=8326 Len=10 TSval=454736 TSecr=1542837543"
"1109","13.425347066","12:26:49.844111652","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1562 Ack=23553 Win=8326 Len=10 TSval=454745 TSecr=1542837639"
"1116","13.525334417","12:26:49.944099003","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1572 Ack=23674 Win=8326 Len=10 TSval=454754 TSecr=1542837742"
"1127","13.625793235","12:26:50.044557821","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1592 Ack=24257 Win=8326 Len=10 TSval=454763 TSecr=1542837842"
