"No.","Time","AbsTime","Source","Destination","Protocol","Length","Info"
"846","10.226868848","12:26:46.645633434","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=17913 Ack=1196 Win=540 Len=121 TSval=1542834542 TSecr=454457"
"855","10.326889745","12:26:46.745654331","192.168.57.20","192.168.57.30","TCP","192","7710  >  56913 [PSH, ACK] Seq=18034 Ack=1206 Win=540 Len=126 TSval=1542834642 TSecr=454466"
"862","10.426920793","12:26:46.845685379","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=18160 Ack=1216 Win=540 Len=121 TSval=1542834742 TSecr=454475"
"869","10.526853789","12:26:46.945618375","192.168.57.20","192.168.57.30","TCP","182","7710  >  56913 [PSH, ACK] Seq=18281 Ack=1226 Win=540 Len=116 TSval=1542834842 TSecr=454484"
"880","10.626919510","12:26:47.045684096","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=18864 Ack=1246 Win=540 Len=121 TSval=1542834942 TSecr=454493"
"887","10.726873371","12:26:47.145637957","192.168.57.20","192.168.57.30","TCP","191","7710  >  56913 [PSH, ACK] Seq=18985 Ack=1256 Win=540 Len=125 TSval=1542835042 TSecr=454502"
"894","10.826890613","12:26:47.245655199","192.168.57.20","192.168.57.30","TCP","188","7710  >  56913 [PSH, ACK] Seq=19110 Ack=1266 Win=540 Len=122 TSval=1542835142 TSecr=454511"
"903","10.926761645","12:26:47.345526231","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=19413 Ack=1289 Win=540 Len=121 TSval=1542835243 TSecr=454520"
"910","11.027416046","12:26:47.446180632","192.168.57.20","192.168.57.30","TCP","186","7710  >  56913 [PSH, ACK] Seq=19534 Ack=1299 Win=540 Len=120 TSval=1542835343 TSecr=454529"
"923","11.126666574","12:26:47.545431160","192.168.57.20","192.168.57.30","TCP","183","7710  >  56913 [PSH, ACK] Seq=19654 Ack=1309 Win=540 Len=117 TSval=1542835442 TSecr=454538"
"930","11.226824345","12:26:47.645588931","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=19771 Ack=1319 Win=540 Len=121 TSval=1542835542 TSecr=454547"
"939","11.326914284","12:26:47.745678870","192.168.57.20","192.168.57.30","TCP","192","7710  >  56913 [PSH, ACK] Seq=19892 Ack=1329 Win=539 Len=126 TSval=1542835642 TSecr=454556"
"946","11.426951864","12:26:47.845716450","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=20018 Ack=1339 Win=539 Len=121 TSval=1542835742 TSecr=454565"
"953","11.526938508","12:26:47.945703094","192.168.57.20","192.168.57.30","TCP","182","7710  >  56913 [PSH, ACK] Seq=20139 Ack=1349 Win=539 Len=116 TSval=1542835843 TSecr=454574"
"964","11.626891386","12:26:48.045655972","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=20722 Ack=1369 Win=539 Len=121 TSval=1542835942 TSecr=454583"
"971","11.726871876","12:26:48.145636462","192.168.57.20","192.168.57.30","TCP","191","7710  >  56913 [PSH, ACK] Seq=20843 Ack=1379 Win=539 Len=125 TSval=1542836033 TSecr=454592"
"978","11.826902169","12:26:48.245666755","192.168.57.20","192.168.57.30","TCP","188","7710  >  56913 [PSH, ACK] Seq=20968 Ack=1389 Win=539 Len=122 TSval=1542836142 TSecr=454601"
"985","11.926601034","12:26:48.345365620","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=21090 Ack=1399 Win=539 Len=121 TSval=1542836235 TSecr=454610"
"992","12.026727274","12:26:48.445491860","192.168.57.20","192.168.57.30","TCP","186","7710  >  56913 [PSH, ACK] Seq=21211 Ack=1409 Win=539 Len=120 TSval=1542836342 TSecr=454619"
"1005","12.126913416","12:26:48.545678002","192.168.57.20","192.168.57.30","TCP","183","7710  >  56913 [PSH, ACK] Seq=21331 Ack=1419 Win=539 Len=117 TSval=1542836437 TSecr=454628"
"1012","12.226837469","12:26:48.645602055","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=21448 Ack=1429 Win=539 Len=121 TSval=1542836537 TSecr=454636"
"1021","12.326896845","12:26:48.745661431","192.168.57.20","192.168.57.30","TCP","192","7710  >  56913 [PSH, ACK] Seq=21569 Ack=1439 Win=539 Len=126 TSval=1542836642 TSecr=454646"
"1028","12.426874714","12:26:48.845639300","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=21695 Ack=1449 Win=539 Len=121 TSval=1542836738 TSecr=454655"
"1035","12.526949498","12:26:48.945714084","192.168.57.20","192.168.57.30","TCP","182","7710  >  56913 [PSH, ACK] Seq=21816 Ack=1459 Win=539 Len=116 TSval=1542836843 TSecr=454664"
"1046","12.626921475","12:26:49.045686061","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=22399 Ack=1479 Win=539 Len=121 TSval=1542836940 TSecr=454673"
"1053","12.726879183","12:26:49.145643769","192.168.57.20","192.168.57.30","TCP","191","7710  >  56913 [PSH, ACK] Seq=22520 Ack=1489 Win=539 Len=125 TSval=1542837040 TSecr=454682"
"1060","12.826900982","12:26:49.245665568","192.168.57.20","192.168.57.30","TCP","188","7710  >  56913 [PSH, ACK] Seq=22645 Ack=1499 Win=539 Len=122 TSval=1542837141 TSecr=454691"
"1069","12.926621075","12:26:49.345385661","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=22948 Ack=1522 Win=539 Len=121 TSval=1542837242 TSecr=454700"
"1076","13.029623807","12:26:49.448388393","192.168.57.20","192.168.57.30","TCP","186","7710  >  56913 [PSH, ACK] Seq=23069 Ack=1532 Win=539 Len=120 TSval=1542837345 TSecr=454709"
"1089","13.126633626","12:26:49.545398212","192.168.57.20","192.168.57.30","TCP","183","7710  >  56913 [PSH, ACK] Seq=23189 Ack=1542 Win=539 Len=117 TSval=1542837442 TSecr=454718"
"1096","13.226840801","12:26:49.645605387","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=23306 Ack=1552 Win=539 Len=121 TSval=1542837543 TSecr=454727"
"1105","13.326925210","12:26:49.745689796","192.168.57.20","192.168.57.30","TCP","192","7710  >  56913 [PSH, ACK] Seq=23427 Ack=1562 Win=539 Len=126 TSval=1542837639 TSecr=454736"
"1112","13.426891628","12:26:49.845656214","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=23553 Ack=1572 Win=539 Len=121 TSval=1542837742 TSecr=454745"
"1119","13.526938315","12:26:49.945702901","192.168.57.20","192.168.57.30","TCP","182","7710  >  56913 [PSH, ACK] Seq=23674 Ack=1582 Win=538 Len=116 TSval=1542837842 TSecr=454754"
"1130","13.627335733","12:26:50.046100319","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=24257 Ack=1602 Win=538 Len=121 TSval=1542837936 TSecr=454763"
"1137","13.726874493","12:26:50.145639079","192.168.57.20","192.168.57.30","TCP","191","7710  >  56913 [PSH, ACK] Seq=24378 Ack=1612 Win=538 Len=125 TSval=1542838042 TSecr=454772"
"1144","13.826909353","12:26:50.245673939","192.168.57.20","192.168.57.30","TCP","188","7710  >  56913 [PSH, ACK] Seq=24503 Ack=1622 Win=538 Len=122 TSval=1542838142 TSecr=454781"
